IADOS;codigo;facultad;area;materia;seccion;horario;dias;inscritos;asistencia;modalidad
2/2/2023;ORTI-I   ;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;ORIENTACIÓN TÉCNICA DE INGENIERÍA;1;06:30-08:00;Ma-Jue;84;70;PRESENCIAL
2/2/2023;DIBP-H   ;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DIBUJO PUBLICITARIO;1;06:30-08:00;Ma-Jue;96;75;EN LINEA
2/2/2023;ADM2-E   ;Fac_CiEmp;NEGOCIOS;ADMINISTRACIÓN II;2;06:30-08:00;Ma-Jue;58;45;EN LINEA
2/2/2023;DCO2-D   ;Fac_Der;DERECHO;DERECHO CONSTITUCIONAL II / PROCEDIMIENTOS CONSTITUCIONALES;1;06:30-08:00;Ma-Jue;79;60;EN LINEA
2/2/2023;DISW-I   ;Fac_InCa;INFORMATICA;DISEÑO DE SITIOS WEB;1;06:30-08:00;Ma-Jue;26;20;EN LINEA
2/2/2023;PSFO-H   ;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA FORENSE;1;06:30-08:00;Ma-Jue;95;72;EN LINEA
2/2/2023;SIPRI-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;INGLÉS TÉCNICO IV (SISTEMAS INTEGRADOS ADMINISTRATIVOS);1;06:30-08:00;Ma-Jue-Sab;4;2;EN LINEA
2/2/2023;DPWEB-I  ;Fac_InCa;INFORMATICA;DESARROLLO DE LA PLATAFORMA WEB;1;06:30-08:00;Ma-Jue;101;83;EN LINEA
2/2/2023;DPCM3-D;Fac_Der;DERECHO;DERECHO PROCESAL CIVIL Y MERCANTIL III;1;06:30-08:00;Ma-Jue;49;44;EN LINEA
2/2/2023;FIS3-I   ;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;FÍSICA III;1;06:30-08:00;Ma-Jue;52;34;EN LINEA
2/2/2023;CREA-E   ;Fac_CiEmp;NEGOCIOS;CREACIÓN DE EMPRESAS;1;06:30-08:00;Ma-Jue;105;87;EN LINEA
2/2/2023;DEIN-H   ;Fac_CiSo;PSICOLOGIA;DESARROLLO INDIVIDUAL;2;06:30-08:00;Ma-Jue;39;33;EN LINEA
2/2/2023;DIMA-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DISEÑO DE MARKETING;1;06:30-08:00;Ma-Jue;45;37;EN LINEA
